,sample1,sample2,AMT_score
12465,S005C002P010R002A022,S010C003P008R001A023,1.8
12466,S001C003P006R001A039,S008C003P030R001A039,3.9
12467,S027C001P082R001A097,S030C003P092R001A104,1.3
12468,S030C001P011R002A104,S006C001P024R001A040,1.3
12469,S008C001P036R001A039,S010C001P008R001A039,3.4
12470,S013C003P015R001A048,S027C003P085R001A101,1.4
12471,S008C001P025R002A035,S016C001P021R001A035,3.4
12472,S005C002P004R002A008,S001C003P005R001A048,1.1
12473,S027C002P081R002A096,S026C002P076R002A098,1.4
12474,S027C003P082R001A097,S023C002P058R002A104,1.888888889
12475,S019C001P049R002A098,S030C001P092R002A098,3.4
12476,S026C001P075R002A104,S002C001P012R002A040,1.777777778
12477,S008C003P036R001A039,S001C001P007R001A040,1.2
12478,S031C001P097R001A097,S010C001P025R002A022,1.1
12479,S014C001P039R002A023,S013C002P018R002A023,3.666666667
12480,S008C003P032R001A023,S027C003P086R001A104,1
12481,S002C001P011R001A039,S002C003P013R001A039,3.4
12482,S023C002P056R002A098,S020C001P052R001A096,1.4
12483,S008C002P033R002A048,S005C001P004R002A048,2
12484,S002C002P011R002A026,S030C002P096R002A099,1.181818182
12485,S027C001P081R002A097,S023C002P056R002A098,2
12486,S023C001P055R002A101,S013C001P018R002A048,1
12487,S021C002P058R002A097,S019C001P049R002A104,1.7
12488,S031C001P006R001A104,S002C001P012R002A040,1.2
12489,S010C001P021R002A026,S005C001P010R002A009,1.090909091
12490,S017C001P016R002A008,S007C002P018R002A035,1.1
12491,S007C002P018R002A026,S025C002P056R002A099,1.375
12492,S016C001P039R002A027,S032C002P105R002A099,1.2
12493,S008C001P029R001A023,S011C003P038R001A023,2.818181818
12494,S027C003P086R001A080,S002C003P011R001A008,1.5
12495,S014C001P037R001A007,S001C001P005R002A007,3.4
12496,S032C001P105R002A104,S002C001P010R002A040,1.3
12497,S031C001P043R001A100,S020C001P053R001A100,3.916666667
12498,S014C001P039R002A023,S008C002P036R002A022,1.333333333
12499,S031C001P097R002A100,S008C002P030R002A027,1.2
12500,S016C002P040R002A026,S008C001P033R002A026,3.636363636
12501,S023C001P055R002A101,S012C003P037R001A035,1.3
12502,S009C003P017R001A040,S005C001P021R001A040,3.6
12503,S006C001P022R001A039,S029C003P044R001A096,1.6
12504,S014C003P037R001A007,S014C001P037R001A007,4
12505,S008C001P036R002A027,S025C001P066R002A100,1.222222222
12506,S023C002P068R002A080,S002C001P012R002A035,1.4
12507,S021C001P058R002A099,S019C002P050R002A099,3.555555556
12508,S032C002P105R002A099,S030C003P081R001A100,1.3
12509,S001C001P002R002A009,S013C001P019R002A009,3.666666667
12510,S008C001P029R001A022,S030C001P095R002A104,1.6
12511,S029C001P080R001A095,S031C002P100R002A095,3.9
12512,S008C003P033R001A027,S027C001P084R002A099,1.111111111
12513,S032C003P105R001A095,S013C002P037R002A040,1.8
12514,S027C001P085R001A101,S013C003P015R001A048,1.3
12515,S023C001P064R002A080,S008C001P034R001A008,2.2
12516,S006C002P022R002A008,S008C001P029R002A008,3.6
12517,S013C001P037R002A027,S008C002P035R002A027,4
12518,S007C001P028R001A026,S008C003P032R001A027,1.4
12519,S030C001P095R001A099,S030C003P011R001A100,2.2
12520,S002C001P009R001A040,S001C001P004R001A007,1
12521,S008C001P034R001A027,S006C001P022R002A027,3.818181818
12522,S008C002P033R002A009,S006C001P024R001A048,1
12523,S008C001P029R002A048,S017C003P015R001A039,1.2
12524,S007C001P028R002A027,S002C002P014R002A026,1.4
12525,S017C001P009R002A007,S008C002P030R002A007,3.25
12526,S030C002P044R002A102,S023C001P066R001A102,3.4
12527,S008C001P036R001A040,S008C001P031R001A007,1
12528,S002C002P012R002A035,S012C003P037R001A035,3.5
12529,S001C001P004R001A009,S008C001P032R001A027,1.7
12530,S023C002P068R002A080,S027C003P084R001A080,3.7
12531,S001C002P001R002A022,S002C002P003R002A022,2.6
12532,S013C003P027R001A026,S002C002P009R002A009,1.1
12533,S016C002P040R002A007,S002C002P012R002A022,1
12534,S026C001P071R001A104,S023C002P064R002A104,2.9
12535,S002C001P014R001A022,S023C001P064R002A104,3
12536,S002C003P013R001A039,S030C003P076R001A096,1.4
12537,S001C001P004R002A023,S023C001P068R002A104,1.1
12538,S014C003P025R001A007,S006C001P023R001A007,3.3
12539,S002C001P009R001A048,S007C002P001R002A048,2.7
12540,S016C002P008R002A022,S014C001P017R001A007,2.1
12541,S012C002P037R002A022,S005C002P010R002A022,2.6
12542,S004C003P003R001A035,S030C001P044R001A080,1.444444444
12543,S001C003P004R001A039,S017C001P003R001A039,3.090909091
12544,S031C003P097R001A101,S023C001P064R002A101,2.7
12545,S027C001P082R002A100,S028C001P046R001A099,1.7
12546,S030C003P095R001A100,S020C003P052R001A099,2
12547,S025C003P058R001A100,S020C001P041R001A099,1.272727273
12548,S011C001P001R001A009,S008C001P034R001A009,3.444444444
12549,S005C001P017R001A009,S001C001P002R002A009,3.7
12550,S005C003P015R001A035,S006C003P024R001A008,1.9
12551,S026C001P049R002A101,S020C001P052R002A101,3.7
12552,S030C001P092R002A098,S030C003P092R001A097,1.666666667
12553,S008C001P033R001A035,S006C001P024R002A035,3.9
12554,S002C001P011R001A039,S010C002P008R002A040,1.25
12555,S021C001P060R001A102,S026C001P050R002A101,1
12556,S027C001P081R001A095,S025C002P066R002A104,3
12557,S027C001P083R001A097,S026C001P075R001A097,3.3
12558,S016C001P040R001A039,S015C001P025R001A039,3.6
12559,S015C002P025R002A040,S008C001P031R002A040,3.6
12560,S021C001P059R002A100,S012C001P008R001A027,1.272727273
12561,S028C001P073R002A104,S026C002P075R002A104,3.1
12562,S008C002P029R002A008,S006C001P023R002A035,1.2
12563,S008C002P033R002A048,S025C003P058R001A101,1.090909091
12564,S019C001P046R001A098,S027C002P086R002A098,3.6
12565,S027C002P080R002A096,S008C002P032R002A039,1.333333333
12566,S021C001P060R001A104,S021C001P056R002A104,2.5
12567,S026C001P049R002A102,S023C001P068R001A102,3.818181818
12568,S027C003P083R001A099,S012C001P008R001A027,1.111111111
12569,S008C002P029R002A027,S032C001P106R001A099,1
12570,S023C001P060R001A099,S025C001P068R002A099,3.888888889
12571,S002C001P007R002A023,S002C001P011R002A023,2.4
12572,S001C003P006R001A039,S006C002P024R002A039,4
12573,S008C001P029R002A008,S030C003P044R001A080,2.2
12574,S019C001P049R002A099,S032C001P105R002A099,3.875
12575,S011C002P002R002A023,S008C003P001R001A023,3.888888889
12576,S001C003P006R001A007,S005C001P010R002A023,1.7
12577,S020C001P052R001A099,S030C001P095R001A099,3.5
12578,S031C001P043R001A100,S031C003P043R001A100,3.8
12579,S007C001P028R001A008,S016C001P039R002A048,1.1
12580,S019C002P046R002A102,S030C003P076R001A101,1
12581,S016C001P040R001A008,S008C002P029R002A048,1.2
12582,S004C001P020R002A035,S031C001P006R002A080,1.4
12583,S019C003P050R001A096,S019C003P051R001A096,3.9
12584,S027C003P083R001A101,S023C001P068R002A101,3.4
12585,S008C002P033R002A040,S008C001P031R002A039,1.636363636
12586,S001C003P004R001A039,S008C001P031R002A040,2.2
12587,S008C001P007R001A039,S008C001P035R002A039,3.6
12588,S027C002P081R002A096,S027C001P011R002A096,3.7
12589,S030C003P095R001A100,S008C001P030R002A027,1
12590,S002C001P012R002A022,S015C002P008R002A007,1.7
12591,S025C002P055R002A099,S007C001P028R001A026,1.1
12592,S008C001P029R002A007,S026C002P071R002A095,1.090909091
12593,S008C002P033R002A048,S031C002P051R002A101,1.6
12594,S013C002P028R002A035,S004C002P020R002A035,3.545454545
12595,S032C001P044R002A101,S027C001P084R001A101,3.7
12596,S008C002P036R002A009,S007C002P015R002A027,1
12597,S008C001P015R002A007,S005C003P018R001A007,3.7
12598,S027C001P082R002A100,S008C001P030R001A026,1.3
12599,S027C001P084R002A096,S030C003P076R001A096,2.7
12600,S030C001P096R001A097,S006C002P022R002A022,1.125
12601,S002C002P010R002A040,S016C001P040R001A040,3.6
12602,S016C002P021R002A039,S006C003P023R001A048,1.25
12603,S011C001P038R001A009,S006C003P022R001A009,4
12604,S030C001P095R001A100,S027C003P079R001A100,3.9
12605,S031C003P097R001A104,S027C002P079R002A104,1.7
12606,S008C001P015R002A007,S019C003P046R001A095,1.7
12607,S008C001P034R002A039,S017C002P009R002A039,3.5
12608,S026C001P072R002A104,S026C001P071R002A097,1.6
12609,S021C001P058R002A099,S002C001P012R001A027,1.444444444
12610,S031C001P097R001A097,S029C001P051R001A097,3.1
12611,S017C001P020R001A009,S008C002P029R002A048,1
12612,S002C001P011R002A040,S006C001P023R001A040,3.909090909
12613,S016C003P021R001A035,S008C002P032R002A008,1.4
12614,S013C001P037R002A040,S003C003P002R001A039,1.6
12615,S006C003P024R001A027,S013C001P037R002A027,3.6
12616,S011C003P038R001A022,S011C003P002R001A022,2.75
12617,S008C002P029R002A048,S004C001P020R002A039,1
12618,S014C003P025R001A007,S002C003P013R001A022,1.1
12619,S025C002P066R002A104,S030C001P011R002A104,2.9
12620,S027C001P085R002A102,S027C002P085R002A102,3.9
12621,S016C001P025R002A026,S016C001P040R002A026,3.6
12622,S028C003P043R001A096,S023C002P056R002A098,1.636363636
12623,S010C002P025R002A022,S017C002P003R002A007,1.4
12624,S008C002P032R002A048,S032C001P106R001A101,1.444444444
12625,S006C002P023R002A008,S001C001P002R001A008,4
12626,S011C001P028R001A023,S008C001P029R001A023,2.5
12627,S022C002P064R002A098,S005C001P021R001A040,1.272727273
12628,S030C002P095R002A097,S025C001P059R001A104,1.4
12629,S028C002P073R002A102,S021C003P056R001A095,1.2
12630,S012C001P016R002A040,S002C001P010R001A007,1.090909091
12631,S008C002P036R002A027,S012C001P019R002A027,3.7
12632,S026C003P071R001A098,S031C003P097R001A096,1.1
12633,S027C001P084R001A101,S006C001P023R002A035,1.454545455
12634,S011C002P038R002A008,S028C003P073R001A080,2.4
12635,S012C002P028R002A022,S008C003P015R001A023,1.2
12636,S029C001P080R002A098,S031C002P051R002A098,3.8
12637,S008C001P035R002A009,S012C003P008R001A009,3.7
12638,S002C001P012R002A035,S008C003P029R001A035,2.1
12639,S030C002P096R002A100,S027C003P079R001A100,3.727272727
12640,S008C001P030R001A035,S012C003P037R001A035,3.818181818
12641,S007C001P007R002A048,S006C002P024R002A039,1.375
12642,S028C003P073R001A080,S014C003P008R001A035,1.3
12643,S005C001P004R001A026,S008C003P031R001A009,1
12644,S027C001P079R002A080,S008C001P032R002A008,1.8
12645,S014C001P037R002A026,S001C001P006R002A027,1.5
12646,S030C001P092R001A096,S032C001P106R001A096,3.888888889
12647,S026C001P050R002A101,S030C003P011R001A101,3.7
12648,S030C002P011R002A104,S010C002P013R002A040,1.090909091
12649,S027C001P080R002A102,S016C001P039R002A026,1.4
12650,S009C002P017R002A008,S017C003P009R001A008,3.363636364
12651,S026C001P071R001A096,S011C001P038R001A022,1
12652,S008C003P035R001A040,S002C001P011R002A040,3.2
12653,S011C003P028R001A023,S004C003P003R001A023,3.444444444
12654,S008C002P032R002A007,S008C001P034R002A023,1.4
12655,S027C001P081R001A095,S032C002P105R002A104,2.583333333
12656,S023C002P061R002A102,S013C003P027R001A026,1.2
12657,S002C001P014R001A035,S026C003P072R001A080,1.2
12658,S002C003P003R001A009,S009C001P007R001A026,1
12659,S010C001P017R002A048,S013C002P019R002A039,1.3
12660,S008C003P035R001A008,S030C001P044R001A080,2
12661,S012C001P028R001A039,S029C003P051R001A097,1
12662,S008C001P029R001A040,S014C001P039R001A040,3.6
12663,S008C001P034R002A026,S002C003P003R001A009,1
12664,S002C003P011R001A008,S008C001P025R001A008,3.727272727
12665,S032C003P105R001A095,S026C001P075R002A104,2.909090909
12666,S023C003P068R001A102,S025C003P058R001A101,1
12667,S030C001P011R002A099,S029C001P080R001A099,3.6
12668,S032C001P105R002A104,S028C001P073R002A104,3.454545455
12669,S031C001P097R002A100,S025C002P066R002A100,3.6
12670,S002C002P014R002A007,S006C003P024R001A022,1.3
12671,S002C002P011R002A023,S002C001P014R001A023,3.444444444
12672,S023C002P061R002A102,S006C003P023R001A026,1.727272727
12673,S025C003P068R001A097,S032C002P106R002A097,3.5
12674,S026C003P008R001A098,S028C001P087R001A096,1.4
12675,S031C002P082R002A098,S027C002P084R002A097,1.5
12676,S016C001P040R002A007,S001C001P004R001A007,1.555555556
12677,S013C003P037R001A023,S005C001P016R002A022,1.5
12678,S029C001P080R001A104,S032C001P106R002A104,2.181818182
12679,S007C002P018R002A035,S008C003P031R001A035,3.555555556
12680,S032C001P104R002A097,S032C002P043R002A098,2.222222222
12681,S005C001P016R002A022,S001C003P006R001A022,2.9
12682,S008C001P036R001A048,S031C001P051R002A101,1.2
12683,S030C001P044R002A102,S023C002P059R002A102,3.666666667
12684,S002C001P014R001A023,S001C003P006R001A022,1
12685,S019C001P051R001A100,S010C001P013R002A026,1.4
12686,S008C002P029R002A027,S008C003P031R001A027,2.454545455
12687,S010C002P021R002A022,S012C001P037R002A022,3.8
12688,S027C001P082R001A097,S030C002P095R002A104,1.6
12689,S031C001P097R001A104,S019C002P049R002A104,3
12690,S008C001P031R002A023,S030C003P092R001A102,1
12691,S031C001P006R001A104,S011C001P038R001A040,1.222222222
12692,S026C003P051R001A095,S023C002P068R002A104,1.777777778
12693,S015C003P015R001A040,S008C001P030R001A040,3.25
12694,S008C001P030R001A008,S002C002P003R002A008,3.636363636
12695,S032C002P105R002A104,S030C003P092R001A104,2.4
12696,S008C003P033R001A022,S014C001P037R001A007,1.090909091
12697,S010C001P025R002A027,S008C001P033R001A027,3.5
12698,S013C002P018R002A048,S030C001P096R002A101,1.3
12699,S032C001P102R002A096,S001C001P006R001A022,1
12700,S030C002P096R002A099,S021C001P058R002A099,3.4
12701,S006C001P023R001A040,S014C003P007R001A007,1.1
12702,S008C002P036R002A009,S002C001P009R002A026,1
12703,S001C003P006R001A022,S031C002P096R002A104,2.6
12704,S008C001P032R002A039,S015C003P025R001A039,3.777777778
12705,S001C001P005R002A022,S002C001P012R002A022,1.363636364
12706,S023C003P066R001A101,S011C002P038R002A035,1.4
12707,S027C001P084R001A098,S008C001P029R001A040,1.6
12708,S006C002P024R002A023,S011C001P015R002A022,1.3
12709,S002C001P009R001A040,S011C001P027R001A040,3.6
12710,S002C001P012R001A026,S007C001P028R002A027,1.545454545
12711,S027C003P083R001A080,S001C001P006R001A008,2.2
12712,S008C001P033R002A007,S027C003P083R001A095,1.3
12713,S002C001P011R002A007,S016C001P040R002A007,3.3
12714,S023C001P068R001A102,S030C002P011R002A102,3.545454545
12715,S029C003P051R001A102,S023C002P061R002A102,2.636363636
12716,S032C002P102R002A100,S003C003P018R001A027,1.3
12717,S021C001P056R001A095,S011C003P038R001A022,1.7
12718,S026C003P072R001A080,S006C001P022R001A035,1.1
12719,S008C003P029R001A035,S010C001P017R002A048,1.727272727
12720,S008C001P029R001A022,S010C002P021R002A022,2.272727273
12721,S027C002P011R002A098,S032C001P102R002A096,1.2
12722,S029C001P008R001A096,S006C003P022R001A039,1.1
12723,S001C003P006R001A008,S008C002P036R002A008,3.8
12724,S027C001P085R001A101,S025C003P058R001A101,3.6
12725,S008C002P030R002A007,S010C001P008R001A023,1.2
12726,S008C002P031R002A026,S006C003P022R001A009,1.2
12727,S023C001P055R002A101,S019C001P046R001A101,3.7
12728,S007C001P016R001A035,S003C001P002R001A048,2.666666667
12729,S012C001P008R001A027,S030C003P095R001A099,1.6
12730,S008C003P029R001A009,S006C002P022R002A026,1
12731,S025C003P058R001A101,S019C003P046R001A101,3.666666667
12732,S015C002P019R002A023,S012C001P037R002A022,1.6
12733,S027C001P079R002A080,S030C001P043R002A080,3.4
12734,S016C002P039R002A048,S014C003P008R001A035,2.3
12735,S031C001P051R002A099,S031C002P100R002A100,1.4
12736,S001C001P006R001A039,S017C001P009R002A039,3.888888889
12737,S028C002P073R002A104,S020C003P053R001A104,1.9
12738,S032C002P043R002A098,S022C002P064R002A098,3.625
12739,S008C002P032R002A048,S027C001P086R002A101,1.1
12740,S030C002P096R002A099,S002C002P011R002A027,1.5
12741,S017C001P003R001A039,S008C003P036R001A048,1.6
12742,S010C001P013R002A040,S001C001P004R001A007,1
12743,S027C002P081R002A096,S011C001P002R001A022,1
12744,S028C003P073R001A095,S026C002P071R002A095,3.888888889
12745,S002C001P012R002A035,S001C001P002R001A008,1.1
12746,S008C001P033R002A007,S019C002P050R002A095,1
12747,S020C001P053R001A099,S030C002P096R002A099,3.6
12748,S008C002P032R002A048,S008C002P035R002A048,2.888888889
12749,S026C001P071R001A098,S032C003P105R001A098,3.666666667
12750,S008C002P031R002A040,S001C003P004R001A007,1.111111111
12751,S008C002P036R002A027,S015C001P016R002A027,3.454545455
12752,S026C003P072R001A098,S027C001P079R001A096,1.363636364
12753,S032C001P106R001A101,S031C003P100R001A101,3.1
12754,S009C001P019R001A040,S010C001P013R002A040,3.636363636
12755,S032C002P043R002A098,S023C001P056R002A098,3.5
12756,S027C001P011R002A098,S019C003P051R001A096,1.5
12757,S005C003P004R001A026,S008C003P031R001A009,1.1
12758,S024C003P061R001A100,S027C001P084R002A099,1.444444444
12759,S008C003P032R001A026,S005C003P004R001A026,3.777777778
12760,S008C002P031R002A026,S013C001P019R002A009,1
12761,S013C002P028R002A035,S006C001P022R002A008,1.3
12762,S010C001P017R002A048,S002C003P009R001A048,3.1
12763,S027C002P081R002A096,S027C003P086R001A096,3.9
12764,S007C002P025R002A009,S013C001P018R002A009,3.9
12765,S027C001P083R001A100,S020C003P041R001A099,1.1
12766,S008C001P036R001A035,S002C002P014R002A008,1.5
12767,S008C003P029R001A022,S002C001P013R001A022,3.333333333
12768,S024C001P064R001A099,S008C001P034R002A026,1.272727273
12769,S008C002P032R002A039,S001C001P004R001A039,3.888888889
12770,S016C003P040R001A022,S027C001P083R001A104,1.3
12771,S026C003P008R001A098,S023C001P055R002A098,3.2
12772,S031C003P100R001A101,S004C001P003R001A035,1.3
12773,S008C001P001R001A023,S003C001P019R001A022,1.2
12774,S008C002P035R002A035,S027C002P011R002A080,1
12775,S011C001P028R001A023,S008C001P035R001A022,1.454545455
12776,S023C002P061R002A097,S024C003P064R001A097,3.8
12777,S010C001P013R002A009,S007C003P016R001A026,1
12778,S007C001P015R002A027,S008C001P036R001A026,1.555555556
12779,S002C001P003R002A022,S014C003P007R001A007,1.181818182
12780,S027C002P043R002A102,S017C003P003R001A039,1
12781,S012C002P028R002A022,S001C001P001R002A022,2.8
12782,S012C002P028R002A022,S011C002P018R002A022,3.222222222
12783,S027C001P085R002A102,S025C001P056R001A102,3.272727273
12784,S006C002P022R002A026,S029C003P006R001A099,1.454545455
12785,S026C001P008R001A080,S006C001P023R002A035,1.454545455
12786,S030C003P096R001A096,S023C001P066R002A096,3.3
12787,S030C001P011R002A099,S011C001P038R002A026,1.7
12788,S027C003P079R001A096,S008C001P031R001A022,1.2
12789,S020C001P053R001A100,S031C002P097R002A100,3.8
12790,S032C001P043R002A097,S027C003P079R001A098,1.363636364
12791,S011C003P016R001A007,S016C001P040R002A007,3.4
12792,S023C002P058R002A104,S028C002P087R002A104,2.9
12793,S017C001P016R002A008,S002C002P011R002A048,1.3
12794,S002C003P011R001A008,S011C002P038R002A008,3.545454545
12795,S001C002P004R002A040,S002C003P014R001A040,3.111111111
12796,S026C001P050R002A101,S007C003P017R001A035,1.272727273
12797,S002C002P012R002A009,S014C003P039R001A009,3.9
12798,S010C002P008R002A040,S017C002P020R002A040,3.8
12799,S002C002P003R002A022,S008C003P001R001A023,1.4
12800,S026C001P075R002A104,S021C002P056R002A104,2.9
12801,S006C003P022R001A048,S011C001P028R002A048,3.1
12802,S001C002P005R002A026,S011C002P038R002A026,3
12803,S016C002P039R002A039,S015C003P025R001A039,3.9
12804,S011C003P038R001A022,S030C002P095R002A104,1.75
12805,S030C001P081R002A104,S021C001P056R002A104,1.875
12806,S008C002P033R002A048,S017C001P009R002A035,2.1
12807,S013C001P037R001A048,S007C002P007R002A048,3.181818182
12808,S022C001P064R002A098,S027C003P083R001A098,3.7
12809,S031C002P051R002A099,S001C001P006R002A027,1.4
12810,S008C001P025R001A008,S007C001P026R002A008,3.9
12811,S006C003P023R001A023,S002C001P012R001A023,4
12812,S024C001P064R001A097,S031C003P097R001A097,3.6
12813,S001C001P006R001A035,S026C002P050R002A080,1.9
12814,S016C001P021R002A023,S007C001P016R001A023,3.4
12815,S016C002P040R002A026,S002C003P013R001A027,1.363636364
12816,S013C003P027R001A027,S008C001P029R002A026,1.9
12817,S026C002P072R002A100,S025C001P055R002A100,3.363636364
12818,S023C001P059R001A099,S006C002P022R002A027,1.4
12819,S029C003P080R001A099,S018C003P043R001A099,3.7
12820,S023C001P068R001A102,S022C001P061R001A101,1
12821,S021C001P058R002A099,S031C002P085R002A099,3.3
12822,S006C003P023R001A040,S001C001P004R002A040,2.1
12823,S017C003P003R001A039,S023C001P058R001A096,2
12824,S021C002P060R002A080,S009C001P019R002A035,1.5
12825,S027C001P086R002A099,S007C001P015R002A027,1.181818182
12826,S006C001P022R001A023,S023C001P061R002A104,1.4
12827,S002C002P014R002A048,S012C003P037R001A035,2
12828,S008C003P036R001A035,S001C001P006R001A035,2.6
12829,S008C002P032R002A007,S011C003P016R001A007,2.9
12830,S008C001P029R002A007,S011C001P038R002A007,1.5
12831,S030C003P076R001A096,S001C002P005R002A039,1.5
12832,S023C003P059R001A101,S027C001P084R001A101,3.6
12833,S008C001P034R002A026,S030C002P096R002A099,1.545454545
12834,S031C002P100R002A080,S027C002P079R002A080,2.916666667
12835,S023C002P068R002A080,S013C003P019R001A048,1.3
12836,S032C003P105R001A095,S029C002P044R002A104,1.8
12837,S027C001P084R002A095,S012C002P016R002A040,1.333333333
12838,S030C002P092R002A095,S002C001P003R002A022,1.4
12839,S030C001P092R001A101,S027C001P084R002A100,1
12840,S014C001P039R002A008,S008C001P036R001A035,1.2
12841,S031C001P099R001A080,S028C003P087R001A080,3.5
12842,S024C003P061R001A100,S027C001P079R001A100,3.545454545
12843,S008C001P035R001A023,S002C001P011R002A023,2.9
12844,S022C002P064R002A098,S029C001P044R002A098,3.727272727
12845,S027C002P086R002A097,S027C003P083R001A098,2
12846,S002C001P011R002A007,S017C001P009R001A023,1.4
12847,S008C002P033R002A007,S002C001P011R002A022,1.1
12848,S024C001P061R001A100,S027C002P082R002A100,3.777777778
12849,S026C001P071R001A096,S027C002P011R002A096,3.777777778
12850,S008C001P032R002A008,S005C002P004R002A008,3.7
12851,S023C002P061R002A102,S027C002P084R002A102,4
12852,S012C002P016R002A040,S002C001P011R002A040,3.9
12853,S020C003P052R001A100,S032C002P102R002A100,3.090909091
12854,S017C003P015R001A039,S025C003P056R001A096,1.454545455
12855,S008C003P031R001A022,S011C001P015R002A022,2.1
12856,S026C001P072R001A095,S008C002P034R002A022,2.1
12857,S008C002P033R002A040,S001C003P004R001A007,1.1
12858,S019C001P049R002A104,S020C001P052R002A097,1.222222222
12859,S024C003P061R001A100,S024C001P064R001A099,2.1
12860,S009C003P007R001A026,S002C003P012R001A026,3.3
12861,S006C003P023R001A023,S002C002P012R002A007,1.636363636
12862,S008C001P032R002A039,S006C001P023R001A039,3.777777778
12863,S026C003P075R001A097,S032C001P044R001A097,3.111111111
12864,S008C002P031R002A026,S013C003P027R001A026,3.6
12865,S028C003P073R001A095,S032C003P106R001A095,3.5
12866,S002C001P007R001A008,S011C002P038R002A008,3.7
12867,S007C001P016R001A035,S028C003P073R001A080,1.444444444
12868,S001C002P006R002A027,S008C001P031R001A027,3.444444444
12869,S010C001P017R002A048,S006C003P024R001A048,3.7
12870,S027C001P081R002A102,S022C002P064R002A102,3.8
12871,S031C001P051R002A101,S002C001P010R002A048,1
12872,S027C003P084R001A101,S001C001P005R002A035,1.454545455
12873,S032C003P106R001A101,S005C002P016R002A048,1
12874,S008C001P030R001A035,S009C001P019R002A035,3.818181818
12875,S023C002P066R002A096,S012C001P037R002A039,1.2
12876,S022C003P061R001A101,S028C002P043R002A101,3.5
12877,S002C001P012R002A022,S008C003P036R001A023,1.3
12878,S002C001P014R001A023,S031C001P100R002A104,1.1
12879,S007C001P028R001A026,S002C003P012R001A026,3.555555556
12880,S001C003P006R001A039,S016C003P040R001A039,3.9
12881,S008C001P033R002A009,S014C003P037R001A009,3.8
12882,S002C003P014R001A023,S006C003P022R001A023,3.181818182
12883,S014C001P037R001A007,S002C002P003R002A022,1.5
12884,S028C001P087R002A102,S027C003P086R001A095,1
12885,S006C001P024R002A039,S011C003P038R001A040,1.6
12886,S027C003P006R001A100,S008C001P030R002A027,1.2
12887,S004C002P020R002A023,S002C001P014R001A023,2.2
12888,S029C003P051R001A102,S008C001P015R001A026,1.363636364
12889,S025C003P055R001A102,S029C001P080R002A101,1
12890,S025C001P066R002A100,S008C001P034R002A026,1.8
12891,S027C003P083R001A101,S008C001P035R002A007,1.222222222
12892,S019C002P008R002A100,S025C001P068R002A100,3.8
12893,S012C002P037R002A022,S021C001P056R002A104,1.5
12894,S008C001P001R001A026,S017C001P020R001A009,1
12895,S032C001P008R001A102,S026C001P072R001A095,1
12896,S028C001P073R002A101,S031C003P097R001A101,3.666666667
12897,S030C001P076R001A096,S032C003P106R001A096,3.909090909
12898,S001C003P005R001A040,S013C001P019R002A039,1.333333333
12899,S030C001P076R001A096,S008C002P032R002A039,1.9
12900,S028C002P087R002A100,S007C002P015R002A027,1.555555556
12901,S006C002P001R002A040,S008C002P030R002A007,1
12902,S012C002P037R002A039,S027C001P085R002A096,1.333333333
12903,S001C003P004R001A039,S008C002P032R002A039,3.3
12904,S026C001P071R002A097,S032C002P043R002A098,2.1
12905,S001C002P006R002A009,S008C001P034R001A009,4
12906,S017C001P003R001A039,S008C001P032R002A039,3.6
12907,S013C001P037R002A027,S011C002P038R002A026,1.5
12908,S030C001P092R001A101,S029C001P075R002A101,3
12909,S027C001P086R002A097,S031C002P096R002A104,1.888888889
12910,S031C002P085R002A099,S016C003P021R001A027,1.111111111
12911,S026C001P072R002A097,S004C001P020R002A022,1.555555556
12912,S016C003P040R001A039,S014C003P027R001A039,3.9
12913,S032C001P102R002A100,S028C002P087R002A100,4
12914,S031C001P097R002A100,S026C003P071R001A100,3.4
12915,S010C001P008R001A039,S011C001P027R001A040,1.666666667
12916,S008C001P029R002A026,S015C002P016R002A027,1.545454545
12917,S008C001P025R002A035,S032C001P106R001A080,1.3
12918,S019C001P049R002A104,S030C001P092R001A104,1.9
12919,S014C001P039R002A008,S017C003P009R001A008,3.7
12920,S016C001P039R002A048,S017C003P020R001A048,3.4
12921,S008C001P034R002A007,S014C003P037R001A007,3.3
12922,S013C002P027R002A007,S010C003P013R001A007,3.272727273
12923,S008C003P033R001A027,S016C001P021R001A027,3.888888889
12924,S002C003P014R001A023,S002C001P007R002A023,2.75
12925,S027C001P080R002A096,S026C001P071R001A096,3.6
12926,S026C001P050R001A102,S027C001P083R002A102,2.666666667
12927,S006C001P023R002A022,S006C002P022R002A022,3.1
12928,S002C003P007R001A022,S030C001P011R002A104,1.2
12929,S008C002P035R002A026,S011C001P038R002A026,3.4
12930,S030C003P011R001A100,S026C002P072R002A099,1.555555556
12931,S002C001P013R001A022,S006C001P022R001A007,1.333333333
12932,S012C001P037R002A039,S002C001P011R001A039,3.363636364
12933,S023C001P055R001A104,S031C001P043R001A095,2
12934,S019C001P049R002A104,S031C003P043R001A095,1
12935,S021C001P060R002A080,S006C001P024R002A035,1.4
12936,S008C003P029R001A040,S010C002P018R002A040,3.818181818
12937,S006C001P022R001A035,S008C001P030R002A048,2.818181818
12938,S013C003P027R001A035,S007C002P018R002A035,2.272727273
12939,S002C003P007R001A022,S005C001P010R002A023,1.25
12940,S026C001P008R001A104,S011C001P027R001A040,1.2
12941,S010C001P021R002A008,S008C001P029R002A008,3.7
